               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,             0.02046,            0.020573,           0.0011611,             0.98328,                   1,             0.98967,               0.827,            0.012379,           0.0070208,          0.00046389,            0.008482,            0.008482,            0.008482
                  94,            0.020962,            0.019972,           0.0010546,             0.98888,                   1,              0.9935,             0.79827,            0.012416,           0.0071737,          0.00040886,           0.0084655,           0.0084655,           0.0084655
                  95,            0.020775,            0.020416,           0.0010619,             0.98085,                   1,             0.98689,             0.80117,            0.012342,           0.0083974,          0.00040042,            0.008449,            0.008449,            0.008449
                  96,            0.021993,            0.020599,           0.0010302,             0.98648,                   1,             0.99051,             0.80624,            0.013659,           0.0075707,          0.00044224,           0.0084325,           0.0084325,           0.0084325
                  97,            0.020212,            0.019634,            0.001058,             0.98899,                   1,             0.99442,              0.7812,            0.012953,            0.007699,          0.00046737,            0.008416,            0.008416,            0.008416
                  98,            0.020805,            0.020025,           0.0011585,               0.979,             0.99773,             0.98861,             0.82673,              0.0117,           0.0072843,          0.00047636,           0.0083995,           0.0083995,           0.0083995
                  99,            0.020513,            0.020901,           0.0011783,             0.98132,                   1,             0.99204,              0.8169,            0.011876,           0.0073994,          0.00048583,            0.008383,            0.008383,            0.008383
                 100,             0.02069,            0.019892,           0.0011449,             0.98124,                   1,             0.99227,             0.81018,            0.012491,           0.0073866,          0.00047607,           0.0083665,           0.0083665,           0.0083665
                 101,             0.02062,             0.01956,           0.0010108,             0.78548,             0.56936,             0.54569,             0.27856,            0.082081,            0.021063,            0.031326,             0.00835,             0.00835,             0.00835
                 102,             0.02032,            0.019589,           0.0010767,            0.085714,            0.054545,             0.05275,            0.012817,            0.093918,             0.02237,            0.037274,           0.0083335,           0.0083335,           0.0083335
                 103,            0.020171,            0.020727,           0.0011065,             0.98795,             0.73975,             0.89483,             0.64615,            0.033579,            0.019316,           0.0017568,            0.008317,            0.008317,            0.008317
                 104,            0.020174,            0.019796,           0.0010634,             0.99405,             0.76636,             0.86088,             0.62598,            0.029567,            0.019763,          0.00051763,           0.0083005,           0.0083005,           0.0083005
                 105,            0.020418,            0.020043,           0.0010407,             0.99694,                   1,               0.995,             0.81344,            0.013267,           0.0066374,          0.00037837,            0.008284,            0.008284,            0.008284
                 106,            0.019917,            0.020183,          0.00099748,             0.98138,                   1,             0.99414,             0.81308,            0.011841,           0.0073037,          0.00038953,           0.0082675,           0.0082675,           0.0082675
                 107,            0.019701,            0.019979,           0.0010568,             0.98122,                   1,             0.99007,              0.8162,            0.011886,           0.0073598,          0.00042403,            0.008251,            0.008251,            0.008251
                 108,            0.020915,            0.020141,           0.0010738,             0.87423,               0.646,             0.68616,             0.38158,            0.040729,            0.024571,           0.0029117,           0.0082345,           0.0082345,           0.0082345
                 109,            0.020326,            0.020166,           0.0011094,             0.19969,             0.55909,             0.40319,             0.18987,            0.073482,            0.024682,            0.021785,            0.008218,            0.008218,            0.008218
                 110,            0.020288,            0.020163,           0.0010107,              0.9871,             0.99734,             0.99327,             0.82071,            0.012019,           0.0072446,          0.00041466,           0.0082015,           0.0082015,           0.0082015
                 111,            0.020373,            0.019196,          0.00095957,             0.98596,             0.99743,               0.995,             0.80803,            0.012527,           0.0072525,           0.0004065,            0.008185,            0.008185,            0.008185
                 112,            0.020359,             0.01955,           0.0010977,             0.98136,                   1,             0.99174,             0.83101,            0.012017,           0.0071992,           0.0005209,           0.0081685,           0.0081685,           0.0081685
                 113,            0.019702,             0.01939,           0.0011791,             0.98697,                   1,             0.99453,             0.81427,            0.012052,           0.0071849,           0.0004313,            0.008152,            0.008152,            0.008152
                 114,            0.019854,            0.020213,           0.0011036,             0.98117,                   1,             0.99013,             0.82713,            0.011954,           0.0070056,          0.00046966,           0.0081355,           0.0081355,           0.0081355
                 115,            0.019985,            0.020082,           0.0011105,             0.99327,                   1,               0.995,             0.76303,            0.017953,           0.0085466,          0.00036957,            0.008119,            0.008119,            0.008119
                 116,            0.020063,            0.019601,           0.0010471,             0.98115,                   1,             0.99272,             0.83536,            0.011676,           0.0076464,          0.00041304,           0.0081025,           0.0081025,           0.0081025
                 117,             0.01987,            0.020359,            0.001033,             0.98122,                   1,             0.99149,             0.80456,            0.011876,           0.0078467,          0.00042179,            0.008086,            0.008086,            0.008086
                 118,             0.02007,            0.019248,           0.0009843,             0.98115,                   1,              0.9897,             0.83436,            0.011544,           0.0073631,           0.0003897,           0.0080695,           0.0080695,           0.0080695
                 119,            0.019868,            0.019938,          0.00099339,             0.98131,                   1,             0.98823,             0.82152,            0.011977,           0.0072118,          0.00033658,            0.008053,            0.008053,            0.008053
                 120,             0.02027,             0.02001,          0.00098582,             0.99086,                   1,             0.99327,             0.84209,            0.011339,           0.0064499,          0.00039506,           0.0080365,           0.0080365,           0.0080365
                 121,            0.018989,            0.019573,           0.0010167,              0.9932,                   1,               0.995,             0.83092,            0.011639,           0.0071067,          0.00035484,             0.00802,             0.00802,             0.00802
                 122,            0.019087,            0.019201,           0.0010208,             0.98149,                   1,                0.99,             0.85112,            0.011445,           0.0067792,          0.00046587,           0.0080035,           0.0080035,           0.0080035
                 123,            0.018725,            0.018964,           0.0010277,             0.98151,                   1,             0.98817,             0.83351,            0.010948,           0.0062653,          0.00046346,            0.007987,            0.007987,            0.007987
